False_Positive_Rate,True_Positive_Rate,Thresholds
0.0,0.0,inf
0.006845052893590542,0.11704834605597965,1.0
0.010578718108276292,0.12213740458015267,0.9586726998491676
0.012445550715619166,0.12213740458015267,0.9508137865007218
0.01804604853764779,0.15521628498727735,0.9502573631490138
0.027380211574362167,0.26208651399491095,0.9436729100045704
0.029869321717486,0.26208651399491095,0.939264075661299
0.031736154324828875,0.2697201017811705,0.9043122849677938
0.03671437461107654,0.30788804071246817,0.8964829385748405
0.04044803982576229,0.3511450381679389,0.8951541756571467
0.04107031736154325,0.3511450381679389,0.894798812327224
0.043559427504667084,0.36895674300254455,0.8854834215658984
0.04418170504044804,0.37659033078880405,0.8854834215658982
0.044803982576229,0.37659033078880405,0.882592315901814
0.049782202862476664,0.3969465648854962,0.8756523712275933
0.05289359054138146,0.43256997455470736,0.8729869862308135
0.054760423148724334,0.43256997455470736,0.8656570058836338
0.05787181082762912,0.44274809160305345,0.8529253891572722
0.059738643434972,0.45038167938931295,0.8490232092168993
0.060360920970752956,0.45038167938931295,0.8375280010541551
0.06285003111387678,0.46055979643765904,0.8340533774780954
0.0640945861854387,0.46055979643765904,0.8285535509437895
0.06969508400746734,0.48346055979643765,0.804519930037742
0.08151835718730553,0.5139949109414759,0.7944999999999994
0.0821406347230865,0.5139949109414759,0.7916635583737424
0.08525202240199128,0.5318066157760815,0.7894303767989946
0.08836341008089608,0.5343511450381679,0.7767638911520293
0.09520846297448662,0.5597964376590331,0.7737598712764389
0.09769757311761046,0.5648854961832062,0.7483633965996332
0.1001866832607343,0.5674300254452926,0.7435657463734222
0.1014312383322962,0.5699745547073791,0.7341526520051762
0.10703173615432483,0.5776081424936387,0.720471548401721
0.11761045426260112,0.5826972010178118,0.7185586190857666
0.11823273179838208,0.5826972010178118,0.7121280724450209
0.1238332296204107,0.5979643765903307,0.7061676392162903
0.1238332296204107,0.6055979643765903,0.6987686895338632
0.12756689483509645,0.6081424936386769,0.6755131786711988
0.1281891723708774,0.6081424936386769,0.6636140639518965
0.14063472308649658,0.6106870229007634,0.6590626296142683
0.14250155569383946,0.6106870229007634,0.6321233217304857
0.1449906658369633,0.6106870229007634,0.623626373626376
0.15992532669570628,0.6335877862595419,0.6209553881264219
0.1624144368388301,0.6335877862595419,0.6169915352954861
0.1761045426260112,0.6513994910941476,0.6149255555329214
0.17859365276913503,0.6513994910941476,0.6072998280145215
0.18481642812694463,0.6590330788804071,0.5939711104584406
0.20784069695084006,0.7048346055979644,0.5809749477932514
0.209085252022402,0.7073791348600509,0.580875552896034
0.22339763534536403,0.7251908396946565,0.563075832742737
0.2283758556316117,0.727735368956743,0.5530082220385427
0.22962041070317363,0.727735368956743,0.5248554913294787
0.23335407591785937,0.732824427480916,0.5178257185687297
0.24082140634723087,0.7404580152671756,0.4914939684503565
0.24206596141879277,0.7430025445292621,0.4715133531157259
0.24579962663347854,0.7480916030534351,0.45531716752032525
0.2526446795270691,0.7557251908396947,0.4547086368366282
0.2657125077784692,0.7608142493638677,0.45309381237524826
0.28375855631611696,0.7633587786259542,0.45238691750557825
0.28375855631611696,0.7659033078880407,0.4360592755214053
0.2881144990665837,0.7684478371501272,0.43605927552140505
0.2893590541381456,0.7684478371501272,0.43605927552140494
0.2899813316739266,0.7684478371501272,0.43605927552140406
0.3042937149968886,0.7760814249363868,0.43348600801183035
0.3080273802115744,0.7786259541984732,0.3918618988902595
0.3086496577473553,0.7786259541984732,0.38135999999999975
0.3117610454262601,0.7786259541984732,0.37296092007980397
0.3117610454262601,0.7837150127226463,0.3690750725839904
0.31425015556938396,0.7837150127226463,0.355799373040753
0.3273179838207841,0.7862595419847328,0.34994394169936655
0.327940261356565,0.7862595419847328,0.3332832369942203
0.33478531425015556,0.7964376590330788,0.3169126445951346
0.33851897946484133,0.7989821882951654,0.30848378955542555
0.343497199751089,0.7989821882951654,0.30049167927382703
0.35469819539514624,0.7989821882951654,0.26006546644844525
0.35594275046670815,0.8040712468193384,0.26006546644844514
0.35780958307405103,0.8040712468193384,0.2516031984799292
0.3627878033602987,0.806615776081425,0.24890350877193101
0.3758556316116988,0.8091603053435115,0.24757527363377826
0.3789670192906036,0.8142493638676844,0.24367428308541675
0.3845675171126322,0.821882951653944,0.23622983721103213
0.4710640945861854,0.8447837150127226,0.21930375724117807
0.4716863721219664,0.8447837150127226,0.2145149999999999
0.47542003733665217,0.8498727735368957,0.204926489553778
0.477909147479776,0.8498727735368957,0.18528451492537334
0.48102053515868076,0.8575063613231552,0.17681094914877046
0.48724331051649034,0.8600508905852418,0.11763399466982584
0.5152457996266335,0.8676844783715013,0.11416050003592197
0.5214685749844431,0.8702290076335878,0.09947414548641512
0.5264467952706907,0.8702290076335878,0.09947414548641509
0.5320472930927194,0.8753180661577609,0.09234613819957004
0.5718730553827007,0.8804071246819338,0.07938847393270203
0.5861854387056628,0.8829516539440203,0.071113696882902
0.596764156813939,0.8854961832061069,0.04450731051481701
0.5973864343497199,0.8854961832061069,0.02202457956015524
0.6241443683883012,0.8854961832061069,0.018689280421537825
1.0,1.0,0.0
